publisher,year_published
Industrial Marketing Management,2007
International Journal of Engineering Research and,2018
Decision Sciences,2007
Uncertain Supply Chain Management,2014
Journal of Cleaner Production,2018
Test Engineering and Management,2020
Computers and Industrial Engineering,2013
International Journal of Information Systems and Project Management,2014
Material Handling and Logistics,2016
Operations and Supply Chain An International Journal,2014
September,2008
Southern African Business Review,2013
Applied Clinical Trials,2017
Gestao e Producao,2018
Journal of Computers,2011
South African Journal of Industrial Engineering,2018
Journal of Manufacturing Technology Management,2010
Journal of Cleaner Production,2019
International Journal of Construction Supply Chain Management,2017
International Journal of Research in Science and Management,2020
Systems Engineering Procedia,2012
Studia commercialia Bratislavensia,2014
Computers in Industry,2010
International Journal of Applied Business and Economic Research,2017
Journal of Cleaner Production,2020
Pharmaceutical Processing,2018
Computers and Industrial Engineering,2018
Journal of Cleaner Production,2019
Accident Analysis and Prevention,2019
SSRN Electronic Journal,2020
International Journal of Enterprise Information Systems,2015
Journal of Modelling in Management,2020
Results in Engineering,2019
IEEE Transactions on Engineering Management,2016
Information Systems and Management,2009
Operations and Supply Chain An International Journal,2014
Journal of Manufacturing Technology Management,2019
Industrial Engineering Letters,2015
Journal of Cleaner Production,2018
IEEE Access,2020
International Journal of Digital Content Technology and its Applications,2011
Energy Policy,2019
IEEE Engineering Management Review,2020
Vaccine,2017
Sensors,2013
Supply Chain Management,2016
Industrial and Engineering Chemistry Research,2016
Journal of Business Logistics,2005
PLoS ONE,2019
IEEE Transactions on Engineering Management,2002
Open Journal of Social Sciences,2015
International Journal of Advanced Manufacturing Technology,2016
International Journal of Ethics in Engineering Management Education,2014
JOURNAL OF MECHANICS OF CONTINUA AND MATHEMATICAL SCIENCES,2019
Procedia Social and Behavioral Sciences,2016
DEStech Transactions on Business and Management,2019
Standford Global Supply Chain Management Forum,2001
International Journal of Business Information Systems,2016
International Journal of Internet and Enterprise Management,2006
Journal of Management and Sustainability,2017
Chemical Engineering Transactions,2015
Global Journal of Flexible Systems Management,2015
Indonesian Journal of Electrical Engineering and Computer Science,2019
International Journal of Pharmaceutical and Healthcare Marketing,2019
Journal of Purchasing and Supply Management,2020
International Journal of Production Economics,2011
Journal of Transport and Supply Chain Management,2020
DYNAMICS OF CONTINUOUS DISCRETE AND IMPULSIVE ALGORITHMS,2005
International Journal of Production Economics,2018
Issues in Informing Science and Information Technology,2012
WSEAS Transactions on Systems,2008
Tehnički glasnik,2019
Journal of Enterprise Information Management,2006
Transportation Research Part Logistics and Transportation Review,2010
International Journal of Supply Chain Management,2019
Sustainability,2020
Frontiers in Microbiology,2020
International Journal of Logistics Systems and Management,2018
Journal of Coastal Research,2019
Conservation and Recycling,2017
Journa of business logistics,2003
WSEAS Transactions on Information Science and Applications,2008
Oman Chapter of Arabian Journal of Business and Management Review,2016
International Journal of Physical Distribution Logistics Management,2009
International Journal of Value Chain Management,2017
Information Systems and Management,2018
Problems and Perspectives in Management,2017
International Journal of Production Research,2013
Computers and Industrial Engineering,2020
Computers and Chemical Engineering,2020
Asian Social Science,2015
Global Links,2017
Renewable and Sustainable Energy Reviews,2020
SAM Advanced Management Journal,2009
Industrial Marketing Management,2020
Expert Systems with Applications,2014
Journal of Network and Systems Management,2015
Nongye Gongcheng of the Chinese Society of Agricultural Engineering,2014
Supply Chain Management,2007
Rivista di Studi sulla Sostenibilita,2019
Construction Management and Economics,2016
International Journal of Advanced Manufacturing Technology,2012
Journal of food science Suppl,2013
Transport Problems,2013
International Journal of Production Research,2020
Journal of Supply Chain Management,2010
Data Base for Advances in Information Systems,2011
Artifical Intelligence for Fashion Indusry in the Big Data Era,2018
SSRN Electronic Journal,2018
Conference on Web Based Business Vols,2010
IBM News Release,2017
Energy Policy,2018
Architectural Engineering and Design Management,2012
International Journal of Advanced Manufacturing Technology,2018
Journal of Cleaner Production,2020
Business Process Management Journal,2007
Computers in Industry,2009
SSRN Electronic Journal,2020
Scientia Iranica,2011
Mathematical Problems in Engineering,2015
Advances in Internet of Things,2015
International Journal of Advanced Computer Science and Applications,2019
Journal of Purchasing and Supply Management SPEC,2004
International Journal of Logistics Systems and Management,2007
Journal of Environmental Treatment Techniques,2020
Journal of Economics and Management,2017
INFOR,2008
Journal of Hospitality and Tourism Technology,2018
Journal of Transnational Management,2005
Journal of Engineering Design,2016
Information Systems Research PART,2012
Fødevarestyrelsen,2015
International Journal of RF Research and Applications,2009
Science Advances,2020
Transportation Research Part Logistics and Transportation Review,2020
Metals,2018
Computers and Chemical Engineering,2020
World Economic,2019
International Journal of Logistics Management,2017
Studies in Computational Intelligence,2008
Information Systems Frontiers,2000
Nongye Gongcheng of the Chinese Society of Agricultural Engineering,2015
Energy Policy,2012
International Journal of Operations and Production Management,2009
International Journal of Engineering and Advanced Technology,2019
Journal of Electronic and Computer Engineering,2017
Scientia Iranica,2011
Ekonomska Istrazivanja,2012
Technovation,2006
Cogent Business and Management,2019
International Journal of Supply Chain Management,2018
Journal of Arts Social Sciences,2019
